sales_line_id,order_id,product_id,product_name,quantity,unit_selling_price,discount_pct,standard_cost
SOL0000001,SO000001,P003,Tablette Air 11,1,614.45,0,395
SOL0000002,SO000002,P007,Chaussures City,2,97.66,10,39
SOL0000003,SO000003,P011,Chaise Ergo,3,189.07,10,124
SOL0000004,SO000003,P002,Smartphone X5,5,741.11,5,520
SOL0000005,SO000004,P007,Chaussures City,6,95.74,0,39
SOL0000006,SO000005,P012,Lampe LED Desk,3,43.16,10,18
SOL0000007,SO000005,P007,Chaussures City,2,91.99,8,39
SOL0000008,SO000006,P008,T-Shirt Essential,1,22.97,5,8
SOL0000009,SO000007,P005,Ecran 27 pouces,12,273.66,8,182
SOL0000010,SO000008,P003,Tablette Air 11,4,632.71,0,395
SOL0000011,SO000009,P012,Lampe LED Desk,3,42.61,15,18
SOL0000012,SO000010,P001,Laptop 14 Pro,2,1142.02,0,760
SOL0000013,SO000011,P002,Smartphone X5,9,733.21,0,520
SOL0000014,SO000012,P008,T-Shirt Essential,16,22.09,5,8
SOL0000015,SO000012,P004,Casque Audio Max,10,163.0,5,86
SOL0000016,SO000013,P002,Smartphone X5,4,842.47,10,520
SOL0000017,SO000014,P011,Chaise Ergo,3,214.26,10,124
SOL0000018,SO000014,P010,Sac a dos Metro,1,72.56,12,31
SOL0000019,SO000015,P012,Lampe LED Desk,2,44.57,8,18
SOL0000020,SO000016,P006,Clavier Meca,1,106.84,5,54
SOL0000021,SO000017,P002,Smartphone X5,1,875.36,12,520
SOL0000022,SO000017,P003,Tablette Air 11,2,651.63,15,395
SOL0000023,SO000018,P003,Tablette Air 11,2,593.68,12,395
SOL0000024,SO000018,P002,Smartphone X5,1,849.03,12,520
SOL0000025,SO000019,P005,Ecran 27 pouces,2,302.78,5,182
SOL0000026,SO000020,P001,Laptop 14 Pro,2,1230.44,10,760
SOL0000027,SO000021,P006,Clavier Meca,1,105.87,8,54
SOL0000028,SO000022,P003,Tablette Air 11,2,608.01,0,395
SOL0000029,SO000023,P007,Chaussures City,4,94.94,0,39
SOL0000030,SO000023,P005,Ecran 27 pouces,2,299.06,0,182
SOL0000031,SO000024,P002,Smartphone X5,2,831.61,10,520
SOL0000032,SO000025,P002,Smartphone X5,4,862.79,10,520
SOL0000033,SO000026,P004,Casque Audio Max,2,175.55,8,86
SOL0000034,SO000027,P003,Tablette Air 11,2,636.97,10,395
